compCorp;altDorso;largPeito;altGarupa;compEspadua;compDorsLomb;altCernelha;largAncas;relacaoDorsoGarupa;relacaoAltCernelhaCorpo;relacaoAncasDorso;sexo
1.48;1.39;0.34;1.46;0.6;0.64;1.45;0.43;0.952054795;0.97972973;0.309352518;0
1.44;1.34;0.32;1.39;0.56;0.49;1.4;0.43;0.964028777;0.972222222;0.320895522;0
1.4;1.34;0.36;1.41;0.47;0.6;1.38;0.49;0.95035461;0.985714286;0.365671642;1
1.47;1.34;0.3;1.37;0.51;0.51;1.35;0.43;0.97810219;0.918367347;0.320895522;1
1.42;1.38;0.32;1.41;0.46;0.25;1.33;0.46;0.978723404;0.936619718;0.333333333;1
1.45;1.32;0.3;1.36;0.5;0.48;1.36;0.42;0.970588235;0.937931034;0.318181818;0
1.45;1.35;0.35;1.39;0.53;0.55;1.39;0.45;0.971223022;0.95862069;0.333333333;1
1.47;1.44;0.38;1.48;0.57;0.52;1.46;0.44;0.972972973;0.993197279;0.305555556;0
1.47;1.36;0.39;1.44;0.59;0.7;1.44;0.47;0.944444444;0.979591837;0.345588235;0
1.43;1.37;0.3;1.4;0.46;0.54;1.4;0.48;0.978571429;0.979020979;0.350364964;0
1.4;1.32;0.37;1.39;0.58;0.65;1.37;0.45;0.949640288;0.978571429;0.340909091;1
1.47;1.37;0.38;1.47;0.57;0.6;1.44;0.47;0.931972789;0.979591837;0.343065693;0
1.43;1.34;0.34;1.42;0.55;0.53;1.42;0.46;0.943661972;0.993006993;0.343283582;1
1.42;1.31;0.32;1.41;0.55;0.65;1.38;0.44;0.929078014;0.971830986;0.335877863;1
1.46;1.3;0.43;1.37;0.58;0.6;1.38;0.45;0.948905109;0.945205479;0.346153846;1
1.42;1.38;0.32;1.44;0.5;0.5;1.41;0.43;0.958333333;0.992957746;0.311594203;1
1.48;1.44;0.35;1.47;0.57;0.54;1.46;0.43;0.979591837;0.986486486;0.298611111;1
1.4;1.35;0.33;1.36;0.49;0.5;1.33;0.48;0.992647059;0.95;0.355555556;1
1.3;1.32;0.29;1.35;0.45;0.55;1.35;0.42;0.977777778;1.038461538;0.318181818;0
1.45;1.34;0.4;1.41;0.57;0.57;1.41;0.47;0.95035461;0.972413793;0.350746269;0
1.42;1.36;0.31;1.38;0.46;0.54;1.37;0.43;0.985507246;0.964788732;0.316176471;0
1.41;1.33;0.34;1.42;0.56;0.66;1.39;0.47;0.936619718;0.985815603;0.353383459;1
1.45;1.34;0.32;1.37;0.47;0.45;1.37;0.42;0.97810219;0.944827586;0.313432836;0
1.42;1.33;0.34;1.38;0.5;0.55;1.37;0.48;0.963768116;0.964788732;0.360902256;1
1.44;1.38;0.35;1.43;0.46;0.4;1.31;0.44;0.965034965;0.909722222;0.31884058;1
1.43;1.34;0.35;1.37;0.5;0.5;1.37;0.48;0.97810219;0.958041958;0.358208955;0
1.35;1.32;0.34;1.36;0.47;0.51;1.35;0.43;0.970588235;1;0.325757576;0
1.39;1.33;0.34;1.38;0.49;0.49;1.36;0.44;0.963768116;0.978417266;0.330827068;0
1.37;1.33;0.29;1.37;0.44;0.53;1.35;0.43;0.97080292;0.98540146;0.323308271;0
1.51;1.34;0.37;1.44;0.6;0.7;1.41;0.48;0.930555556;0.933774834;0.358208955;1
1.36;1.32;0.35;1.36;0.57;0.5;1.35;0.46;0.970588235;0.992647059;0.348484848;0
1.43;1.33;0.3;1.41;0.55;0.55;1.39;0.44;0.943262411;0.972027972;0.330827068;1
1.41;1.34;0.36;1.4;0.54;0.59;1.39;0.43;0.957142857;0.985815603;0.320895522;1
1.51;1.35;0.22;1.4;0.45;0.47;1.38;0.38;0.964285714;0.913907285;0.281481481;0
1.45;1.37;0.37;1.45;0.59;0.59;1.43;0.46;0.944827586;0.986206897;0.335766423;0
1.41;1.36;0.34;1.4;0.45;0.5;1.32;0.4;0.971428571;0.936170213;0.294117647;1
1.43;1.33;0.35;1.41;0.58;0.6;1.4;0.43;0.943262411;0.979020979;0.323308271;0
1.45;1.37;0.3;1.41;0.46;0.47;1.39;0.45;0.971631206;0.95862069;0.328467153;0
1.37;1.34;0.3;1.35;0.46;0.5;1.36;0.41;0.992592593;0.99270073;0.305970149;0
1.42;1.36;0.35;1.44;0.6;0.64;1.42;0.45;0.944444444;1;0.330882353;0
1.48;1.39;0.34;1.46;0.6;0.64;1.45;0.43;0.952054795;0.97972973;0.309352518;0
